TableName,ColumnName,ColumnType,DataType
MessagePostDeliveryEvents,ThreatTypes,string,System.String
MessagePostDeliveryEvents,ConfidenceLevel,dynamic,System.Object
MessagePostDeliveryEvents,DetectionMethods,dynamic,System.Object
MessagePostDeliveryEvents,LatestDeliveryLocation,string,System.String
MessagePostDeliveryEvents,ReportId,string,System.String
MessagePostDeliveryEvents,SafetyTip,string,System.String
MessageUrlInfo,Timestamp,datetime,System.DateTime
MessageUrlInfo,TeamsMessageId,string,System.String
MessageUrlInfo,Url,string,System.String
MessageUrlInfo,UrlDomain,string,System.String
MessageUrlInfo,ReportId,string,System.String
UrlClickEvents,Timestamp,datetime,System.DateTime
UrlClickEvents,Url,string,System.String
UrlClickEvents,ActionType,string,System.String
UrlClickEvents,AccountUpn,string,System.String
UrlClickEvents,Workload,string,System.String
UrlClickEvents,NetworkMessageId,string,System.String
UrlClickEvents,ThreatTypes,string,System.String
UrlClickEvents,DetectionMethods,string,System.String
UrlClickEvents,IPAddress,string,System.String
UrlClickEvents,IsClickedThrough,bool,System.SByte
UrlClickEvents,UrlChain,string,System.String
UrlClickEvents,ReportId,string,System.String
UrlClickEvents,AppName,string,System.String
UrlClickEvents,AppVersion,string,System.String
UrlClickEvents,SourceId,string,System.String
DeviceTvmInfoGathering,Timestamp,datetime,System.DateTime
DeviceTvmInfoGathering,LastSeenTime,datetime,System.DateTime
DeviceTvmInfoGathering,DeviceId,string,System.String
DeviceTvmInfoGathering,DeviceName,string,System.String
DeviceTvmInfoGathering,OSPlatform,string,System.String
DeviceTvmInfoGathering,AdditionalFields,dynamic,System.Object
DeviceTvmInfoGatheringKB,IgId,string,System.String
DeviceTvmInfoGatheringKB,FieldName,string,System.String
DeviceTvmInfoGatheringKB,Description,string,System.String
DeviceTvmInfoGatheringKB,Categories,dynamic,System.Object
DeviceTvmInfoGatheringKB,DataStructure,string,System.String
DeviceTvmSecureConfigurationAssessment,DeviceId,string,System.String
DeviceTvmSecureConfigurationAssessment,DeviceName,string,System.String
DeviceTvmSecureConfigurationAssessment,OSPlatform,string,System.String
DeviceTvmSecureConfigurationAssessment,Timestamp,datetime,System.DateTime
DeviceTvmSecureConfigurationAssessment,ConfigurationId,string,System.String
DeviceTvmSecureConfigurationAssessment,ConfigurationCategory,string,System.String
DeviceTvmSecureConfigurationAssessment,ConfigurationSubcategory,string,System.String
DeviceTvmSecureConfigurationAssessment,ConfigurationImpact,real,System.Double
DeviceTvmSecureConfigurationAssessment,IsCompliant,bool,System.SByte
DeviceTvmSecureConfigurationAssessment,IsApplicable,bool,System.SByte
DeviceTvmSecureConfigurationAssessment,Context,dynamic,System.Object
DeviceTvmSecureConfigurationAssessment,IsExpectedUserImpact,bool,System.SByte
DeviceTvmSecureConfigurationAssessmentKB,ConfigurationId,string,System.String
DeviceTvmSecureConfigurationAssessmentKB,ConfigurationImpact,real,System.Double
DeviceTvmSecureConfigurationAssessmentKB,ConfigurationName,string,System.String
DeviceTvmSecureConfigurationAssessmentKB,ConfigurationDescription,string,System.String
DeviceTvmSecureConfigurationAssessmentKB,RiskDescription,string,System.String
DeviceTvmSecureConfigurationAssessmentKB,ConfigurationCategory,string,System.String
DeviceTvmSecureConfigurationAssessmentKB,ConfigurationSubcategory,string,System.String
DeviceTvmSecureConfigurationAssessmentKB,ConfigurationBenchmarks,dynamic,System.Object
DeviceTvmSecureConfigurationAssessmentKB,Tags,dynamic,System.Object
DeviceTvmSecureConfigurationAssessmentKB,RemediationOptions,string,System.String
DeviceTvmSoftwareEvidenceBeta,DeviceId,string,System.String
DeviceTvmSoftwareEvidenceBeta,SoftwareVendor,string,System.String
DeviceTvmSoftwareEvidenceBeta,SoftwareName,string,System.String
DeviceTvmSoftwareEvidenceBeta,SoftwareVersion,string,System.String
DeviceTvmSoftwareEvidenceBeta,RegistryPaths,dynamic,System.Object
DeviceTvmSoftwareEvidenceBeta,DiskPaths,dynamic,System.Object
DeviceTvmSoftwareEvidenceBeta,LastSeenTime,string,System.String
AlertEvidence,Timestamp,datetime,System.DateTime
AlertEvidence,AlertId,string,System.String
AlertEvidence,Title,string,System.String
AlertEvidence,Categories,string,System.String
AlertEvidence,AttackTechniques,string,System.String
AlertEvidence,ServiceSource,string,System.String
AlertEvidence,DetectionSource,string,System.String
AlertEvidence,EntityType,string,System.String
AlertEvidence,EvidenceRole,string,System.String
AlertEvidence,EvidenceDirection,string,System.String
AlertEvidence,FileName,string,System.String
AlertEvidence,FolderPath,string,System.String
AlertEvidence,SHA1,string,System.String
AlertEvidence,SHA256,string,System.String
AlertEvidence,FileSize,long,System.Int64
AlertEvidence,ThreatFamily,string,System.String
AlertEvidence,RemoteIP,string,System.String
AlertEvidence,RemoteUrl,string,System.String
AlertEvidence,AccountName,string,System.String
AlertEvidence,AccountDomain,string,System.String
AlertEvidence,AccountSid,string,System.String
AlertEvidence,AccountObjectId,string,System.String
AlertEvidence,AccountUpn,string,System.String
AlertEvidence,DeviceId,string,System.String
AlertEvidence,DeviceName,string,System.String
AlertEvidence,LocalIP,string,System.String
AlertEvidence,NetworkMessageId,string,System.String
AlertEvidence,EmailSubject,string,System.String
AlertEvidence,Application,string,System.String
AlertEvidence,ApplicationId,int,System.Int32
AlertEvidence,OAuthApplicationId,string,System.String
AlertEvidence,ProcessCommandLine,string,System.String
AlertEvidence,RegistryKey,string,System.String
AlertEvidence,RegistryValueName,string,System.String
AlertEvidence,RegistryValueData,string,System.String
AlertEvidence,AdditionalFields,string,System.String
AlertEvidence,Severity,string,System.String
AlertEvidence,CloudResource,string,System.String
AlertEvidence,CloudPlatform,string,System.String
AlertEvidence,ResourceType,string,System.String
AlertEvidence,ResourceID,string,System.String
AlertEvidence,SubscriptionId,string,System.String
AlertEvidence,SentinelWorkspaceIds,string,System.String
DeviceTvmSoftwareInventory,DeviceId,string,System.String
DeviceTvmSoftwareInventory,DeviceName,string,System.String
DeviceTvmSoftwareInventory,OSPlatform,string,System.String
DeviceTvmSoftwareInventory,OSVersion,string,System.String
DeviceTvmSoftwareInventory,OSArchitecture,string,System.String
DeviceTvmSoftwareInventory,SoftwareVendor,string,System.String
DeviceTvmSoftwareInventory,SoftwareName,string,System.String
DeviceTvmSoftwareInventory,SoftwareVersion,string,System.String
DeviceTvmSoftwareInventory,EndOfSupportStatus,string,System.String
DeviceTvmSoftwareInventory,EndOfSupportDate,datetime,System.DateTime
DeviceTvmSoftwareInventory,ProductCodeCpe,string,System.String
DeviceTvmSoftwareVulnerabilities,DeviceId,string,System.String
DeviceTvmSoftwareVulnerabilities,DeviceName,string,System.String
DeviceTvmSoftwareVulnerabilities,OSPlatform,string,System.String
DeviceTvmSoftwareVulnerabilities,OSVersion,string,System.String
DeviceTvmSoftwareVulnerabilities,OSArchitecture,string,System.String
DeviceTvmSoftwareVulnerabilities,SoftwareVendor,string,System.String
DeviceTvmSoftwareVulnerabilities,SoftwareName,string,System.String
DeviceTvmSoftwareVulnerabilities,SoftwareVersion,string,System.String
DeviceTvmSoftwareVulnerabilities,CveId,string,System.String
DeviceTvmSoftwareVulnerabilities,VulnerabilitySeverityLevel,string,System.String
DeviceTvmSoftwareVulnerabilities,RecommendedSecurityUpdate,string,System.String
DeviceTvmSoftwareVulnerabilities,RecommendedSecurityUpdateId,string,System.String
